link,title,category,address,website,phone,timezone,emails
https://www.google.com/maps/place/Adigic+Digital/data=!4m7!3m6!1s0x3755c7eb23c7aa49:0xaf76c3e1b59c4e8c!8m2!3d23.7646362!4d90.4423153!16s%2Fg%2F11gzp2_mmk!19sChIJSarHI-vHVTcRjE6cteHDdq8?authuser=0&hl=en&rclk=1,Adigic Digital,Internet marketing service,"Block F, Adigic Digital, House 31, Road 1, Sector 1, Dhaka 1212",https://www.adigic.com/,01318-762162,Asia/Dhaka,
"https://www.google.com/maps/place/BEAR+MY+BRAND%E2%94%83Branding,+Digital+Marketing,+Website+Development,+%26+Design+Agency+In+Bangladesh/data=!4m7!3m6!1s0x3755b70080ad7147:0x195913f327dd33bc!8m2!3d23.7525188!4d90.4193085!16s%2Fg%2F11q7gcn4qx!19sChIJR3GtgAC3VTcRvDPdJ_MTWRk?authuser=0&hl=en&rclk=1","BEAR MY BRAND┃Branding, Digital Marketing, Website Development, & Design Agency In Bangladesh",Branding agency,"Plot - 390/B, Block-B, Floor-12, Flat No: 12-D, BEAR MY BRAND┃Branding, Digital Marketing, Website Development, & Design Agency In Bangladesh, S.K. Valley, Malibagh Chowdhury Para Rd, Dhaka 1219",http://www.bearmybrand.com/,01687-423317,Asia/Dhaka,info@bearmybrand.com
"https://www.google.com/maps/place/Bizcope+%7C+SEO,+Web+Development+%26+Digital+Marketing+Agency/data=!4m7!3m6!1s0x3755b8497a7a0435:0xca6ecf4842d19100!8m2!3d23.721592!4d90.4286257!16s%2Fg%2F11c0r5h_x6!19sChIJNQR6ekm4VTcRAJHRQkjPbso?authuser=0&hl=en&rclk=1","Bizcope | SEO, Web Development & Digital Marketing Agency",Internet marketing service,"Level 4 & 5, Bizcope | SEO, Web Development & Digital Marketing Agency, Nadian Tower, 89/7 Gopibag Biswa Road, Dhaka 1203",https://www.bizcope.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,01324-738600,Asia/Dhaka,hello@bizcope.com
https://www.google.com/maps/place/Arrow+Digital+Solutions/data=!4m7!3m6!1s0x3755bfb32f9368bd:0xb955387d53e8aa68!8m2!3d23.7509382!4d90.3693096!16s%2Fg%2F11pd7ybld3!19sChIJvWiTL7O_VTcRaKroU304Vbk?authuser=0&hl=en&rclk=1,Arrow Digital Solutions,Marketing agency,"Dhanmondi 15/A, ADDL Tower, 5th Floor, Dhaka Dhaka, 1209",https://arrowdigital.shop/,01707-331688,Asia/Dhaka,keyart-ep1-ph-lib-en@1x-98f10a54-300x300.jpg
https://www.google.com/maps/place/Deep+Marketing+Solution/data=!4m7!3m6!1s0x3755b98b9ef5c513:0xd31d2e06d18597fb!8m2!3d23.7503834!4d90.3871545!16s%2Fg%2F11rj67txct!19sChIJE8X1nou5VTcR-5eF0QYuHdM?authuser=0&hl=en&rclk=1,Deep Marketing Solution,Marketing agency,"Concept Tower, 4th Floor, Beside Panthapath Signal, Green Road, Dhaka- 1205",http://www.deepmarketingsolution.com/,01859-445577,Asia/Dhaka,info@deepmarketingsolution.com
https://www.google.com/maps/place/SERP+Thrive+%7C+Digital+Marketing+Agency/data=!4m7!3m6!1s0x3755b97c900403b9:0x66de080ba62cb307!8m2!3d23.7535517!4d90.3791175!16s%2Fg%2F11ykmkjy7c!19sChIJuQMEkHy5VTcRB7MspgsI3mY?authuser=0&hl=en&rclk=1,SERP Thrive | Digital Marketing Agency,Internet marketing service,"55, SERP Thrive | Digital Marketing Agency, Mirpur Rd, Dhaka 1215",https://serpthrive.com/,,Asia/Dhaka,info@serpthrive.com
"https://www.google.com/maps/place/digitalhelp.xyz%28Digital+Marketing+Agency,+Dhaka%29/data=!4m7!3m6!1s0x3755b92f5fd25d4f:0x32f7331038c0c342!8m2!3d23.7474538!4d90.4110852!16s%2Fg%2F11hq8f5dsx!19sChIJT13SXy-5VTcRQsPAOBAz9zI?authuser=0&hl=en&rclk=1","digitalhelp.xyz(Digital Marketing Agency, Dhaka)",Marketing agency,"2nd Floor, digitalhelp.xyz(Digital Marketing Agency, Dhaka), 216/1 W Malibagh, Dhaka 1217",http://digital.xyz/,01787-147402,Asia/Dhaka,
https://www.google.com/maps/place/i-Creative+MarCom+%28iCmC%29/data=!4m7!3m6!1s0x3755c7e1aeb1c60b:0x4aa4c9328a64186e!8m2!3d23.76422!4d90.4296546!16s%2Fg%2F11fm17hhqp!19sChIJC8axruHHVTcRbhhkijLJpEo?authuser=0&hl=en&rclk=1,i-Creative MarCom (iCmC),Marketing agency,"5th Floor, House - 04, Main Road Block - C, Dhaka 1219",http://www.icreative.com.bd/,01711-010199,Asia/Dhaka,email@icreative.com.bd
https://www.google.com/maps/place/WebAble+Digital/data=!4m7!3m6!1s0x3755b8b742455555:0x9a69be81f4183c5b!8m2!3d23.776531!4d90.4139371!16s%2Fg%2F1q6j3wf58!19sChIJVVVFQre4VTcRWzwY9IG-aZo?authuser=0&hl=en&rclk=1,WebAble Digital,Advertising agency,"Level 4, House 10A, WebAble Digital, Rd No 4, Dhaka 1212",https://webable.digital/,01780-218218,Asia/Dhaka,
"https://www.google.com/maps/place/Creative+Marketers+BD+%7C+SEO+Service,+Web+Development,Content+%26+Logo+%7C+Web+Design+and+Development+Company+In+Dhaka,+Bangladesh/data=!4m7!3m6!1s0x3755c7d153b63cc5:0x85366052214c8faf!8m2!3d23.8134433!4d90.4152311!16s%2Fg%2F11w2b_0pjn!19sChIJxTy2U9HHVTcRr49MIVJgNoU?authuser=0&hl=en&rclk=1","Creative Marketers BD | SEO Service, Web Development,Content & Logo | Web Design and Development Company In Dhaka, Bangladesh",Website designer,"House 363,4th Floor, Lane 5, Eastern Road, Baridhara DOHS, Dhaka 1206, Dhaka 1212",https://creativemarketersbd.com/,01891-716130,Asia/Dhaka,
https://www.google.com/maps/place/Purplebot+Digital/data=!4m7!3m6!1s0x3755bf505e7ec409:0xa17c69c80708d706!8m2!3d23.772844!4d90.4074393!16s%2Fg%2F11c54p2dj6!19sChIJCcR-XlC_VTcRBtcIB8hpfKE?authuser=0&hl=en&rclk=1,Purplebot Digital,Marketing agency,"Flat 1A, House 8, Road 8, Block F, Niketon, Dhaka 1212",https://purplebot.digital/,01711-019550,Asia/Dhaka,contact@purplebot.digital
https://www.google.com/maps/place/Magnito/data=!4m7!3m6!1s0x3755c79e14b9eeab:0x3f44de0bb748072!8m2!3d23.7756!4d90.4176294!16s%2Fg%2F11bwqbp1d1!19sChIJq-65FJ7HVTcRcoB0u-BN9AM?authuser=0&hl=en&rclk=1,Magnito,Marketing agency,"7th Floor, Magnito, House 7 Rd 137, Dhaka 1212",http://www.magnito.agency/,01732-364522,Asia/Dhaka,
https://www.google.com/maps/place/Md.+Salim+Molla+%7C+Professional+Digital+Marketing+Consultant+in+Dhaka./data=!4m7!3m6!1s0x3755c7d907b8d1b5:0xe8bb1ad2096d6933!8m2!3d23.7507453!4d90.4397669!16s%2Fg%2F11kr7xsn5g!19sChIJtdG4B9nHVTcRM2ltCdIau-g?authuser=0&hl=en&rclk=1,Md. Salim Molla | Professional Digital Marketing Consultant in Dhaka.,Marketing consultant,"Taltola Rd, Dhaka 1219",,01782-131717,Asia/Dhaka,
https://www.google.com/maps/place/BrainyZat/data=!4m7!3m6!1s0x3755c615925c1061:0xd99b1b9c923fce18!8m2!3d23.7803209!4d90.4225653!16s%2Fg%2F11g9qgym_y!19sChIJYRBckhXGVTcRGM4_kpwbm9k?authuser=0&hl=en&rclk=1,BrainyZat,Marketing agency,"Ta-135/B, BrainyZat, Gulshan Badda Link Rd, Dhaka 1212",https://brainyzat.com/,01912-506600,Asia/Dhaka,
https://www.google.com/maps/place/American+Best+IT+Limited/data=!4m7!3m6!1s0x3755c76dd3404e41:0xc4d73daf4abadda7!8m2!3d23.7814476!4d90.3936058!16s%2Fg%2F11ghn9gppt!19sChIJQU5A023HVTcRp926Sq8918Q?authuser=0&hl=en&rclk=1,American Best IT Limited,Internet marketing service,"Madhyamoni, American Best IT Limited, House 343 Road 25, Dhaka 1206",https://www.americanbestit.com/,01844-060101,Asia/Dhaka,
"https://www.google.com/maps/place/Red+Sparrow+Digital+-+Web,+SEO+%26+Digital+Marketing+Agency+in+Bangladesh/data=!4m7!3m6!1s0x3755c7099fc16627:0xb2357560abf81193!8m2!3d23.7913459!4d90.4035777!16s%2Fg%2F11j01qyhn1!19sChIJJ2bBnwnHVTcRkxH4q2B1NbI?authuser=0&hl=en&rclk=1","Red Sparrow Digital - Web, SEO & Digital Marketing Agency in Bangladesh",Marketing agency,"House 105, Suite #B3, Red Sparrow Digital - Web, SEO & Digital Marketing Agency in Bangladesh, Block #C Rd No 13A, Dhaka 1213",https://www.redsparrowdigital.com/,01841-451241,Asia/Dhaka,hello@redsparrowdigital.com
"https://www.google.com/maps/place/Freelance+Pulse+Network+-+Best+Digital+Marketing+Agency+in+Dhaka,+Bangladesh/data=!4m7!3m6!1s0x3755c7a712a6b909:0xa435a10dd132bedc!8m2!3d23.8256617!4d90.3749685!16s%2Fg%2F11yqshlcgs!19sChIJCbmmEqfHVTcR3L4y0Q2hNaQ?authuser=0&hl=en&rclk=1","Freelance Pulse Network - Best Digital Marketing Agency in Dhaka, Bangladesh",Marketing agency,Dhaka 1216,,01726-270166,Asia/Dhaka,
https://www.google.com/maps/place/Marketing+Agency+BD/data=!4m7!3m6!1s0x3755c7fb20400261:0x2fa1dcaeb54d3038!8m2!3d23.778069!4d90.4113919!16s%2Fg%2F11myss3l3g!19sChIJYQJAIPvHVTcRODBNta7coS8?authuser=0&hl=en&rclk=1,Marketing Agency BD,Marketing agency,"Block-A, Marketing Agency BD, House no: 88, 73 Road No. 2 Block A, Dhaka 1212",https://marketingagencybd.com/,01410-798999,Asia/Dhaka,"magencybd@gmail.com, emil@yoursite.com"
https://www.google.com/maps/place/HYPE+Dhaka/data=!4m7!3m6!1s0x3755c14a57b7dd1b:0xfb12c5b1b66692d8!8m2!3d23.7900915!4d90.4083777!16s%2Fg%2F11c1ncp_zx!19sChIJG923V0rBVTcR2JJmtrHFEvs?authuser=0&hl=en&rclk=1,HYPE Dhaka,Marketing agency,"Holding 37, Level 3, HYPE Dhaka, Moar Coworking Space, Ventura Iconia, Road No. 11, Dhaka 1213",https://hypedhaka.com/,01971-083058,Asia/Dhaka,
